Time,S_Up_var_CST,S_Up_var_Coal,S_Up_var_Wind,S_Up_var_Gas,Status_var_CST,Status_var_Coal,Status_var_Wind,Status_var_Gas,S_Down_var_CST,S_Down_var_Coal,S_Down_var_Wind,S_Down_var_Gas,Pwr_Gen_var_CST,Pwr_Gen_var_Coal,Pwr_Gen_var_Wind,Pwr_Gen_var_Gas,Angle_bus_var_System,P_chrg_PV Battery,P_dischrg_PV Battery,SOC_PV Battery,U_bin_PV Battery,unserved_demand_System,Pwr_curtailed_CST,Pwr_curtailed_Wind,Objective_Subhorizon_1,Fixed_Cost_Subhorizon_1,Startup_Cost_Subhorizon_1,Shutdown_Cost_Subhorizon_1,Variable_Cost_Subhorizon_1,Unserved_Demand_Cost_Subhorizon_1,Objective_Subhorizon_2,Fixed_Cost_Subhorizon_2,Startup_Cost_Subhorizon_2,Shutdown_Cost_Subhorizon_2,Variable_Cost_Subhorizon_2,Unserved_Demand_Cost_Subhorizon_2,Objective_Subhorizon_3,Fixed_Cost_Subhorizon_3,Startup_Cost_Subhorizon_3,Shutdown_Cost_Subhorizon_3,Variable_Cost_Subhorizon_3,Unserved_Demand_Cost_Subhorizon_3
24,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,6056.40625,10920.812604079689,4723.387500000001,1052.4921050857047,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.0,1.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,13680.812604079674,4653.6449999999995,1100.0,0.0,0.0,2353.658729898303,7230.989729531408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.0,1.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,16316.733477266338,4018.4400000000005,500.0,0.0,0.0,0.0,7230.989729531408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,15633.737316233526,3593.385,500.0,0.0,0.0,0.0,7230.989729531408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,15590.506312879055,3009.15,500.0,0.0,0.0,0.0,7230.989729531408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,15658.280774841876,2726.7524999999996,500.0,0.0,0.0,0.0,7230.989729531408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,15762.306989030574,2845.7475,500.0,0.0,0.0,0.0,7230.989729531408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,16742.979781829035,3424.8225,500.0,0.0,683.7328300985318,0.0,7812.16263511516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,18422.979781829035,2808.3975,500.0,0.0,798.3520722720532,0.0,8490.761896546404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,20102.979781829017,1308.24,500.0,0.0,0.0,0.0,8490.761896546404,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,20530.487793770444,441.03,500.0,0.0,0.0,0.0,8490.761896546404,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,18850.487793770448,843.4425,500.0,0.0,62.18758403990432,0.0,8543.621342980323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,17170.487793770448,1553.1375,500.0,0.0,236.60653615291812,0.0,8744.736898710304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,16753.3831948621,1189.7324999999998,500.0,0.0,0.0,0.0,8744.736898710304,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,17740.474789089854,681.87,500.0,0.0,0.0,0.0,8744.736898710304,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-0.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,18810.485052124226,864.0525,500.0,0.0,0.0,0.0,8744.736898710304,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.0,0.0,-0.0,-0.0,-0.0,8.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,20398.261446304532,1306.2524999999998,500.0,0.0,0.0,0.0,8744.736898710304,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
